,Country Name,Total Cases,Total Deaths,Total Recoveries
0,United States,4962216,161729,2446799
1,Brazil,2917562,98644,2047660
2,India,1964536,40699,1328336
3,Russia,871894,14606,676357
4,South Africa,538184,9604,387316
5,Mexico,456100,49698,304708
6,Peru,447624,20228,306430
7,Chile,366671,9889,340168
8,Colombia,357710,11939,192355
9,Iran,320117,17976,277463
10,Spain,309855,28499,150376
11,United Kingdom,308134,46413,0
12,Saudi Arabia,284226,3055,247089
13,Pakistan,281863,6035,256058
14,Bangladesh,249651,3306,143824
15,Italy,249204,35187,201323
16,Turkey,237265,5798,220546
17,Argentina,228182,4251,99839
18,Germany,215210,9252,193999
19,France,195633,30312,82460
20,Iraq,140603,5161,101025
21,Philippines,119460,2150,66837
22,Indonesia,118753,5521,75645
23,Canada,118514,8966,103077
24,Qatar,112092,178,108831
25,Kazakhstan,95942,1058,68871
26,Egypt,95006,4951,48898
27,Ecuador,90537,5877,71318
28,Bolivia,85141,3385,26437
29,China,84528,4634,79057
30,Sweden,81967,5766,0
31,Oman,80713,492,70910
32,Israel,79559,575,53427
33,Dominican Republic,79536,1246,40539
34,Ukraine,76808,1819,42524
35,Panama,71418,1574,45658
36,Belgium,71158,9859,17661
37,Kuwait,70045,469,61610
38,Belarus,68503,580,63756
39,United Arab Emirates,61845,354,55739
40,Romania,57895,2566,28992
41,Netherlands,56982,6153,0
42,Singapore,54555,27,48031
43,Guatemala,54339,2119,42070
44,Portugal,52061,1743,37840
45,Poland,49515,1774,35642
46,Nigeria,45244,930,32430
47,Honduras,45098,1423,6116
48,Bahrain,42889,156,39945
49,Japan,42263,1026,28877
50,Armenia,39819,772,31556
51,Ghana,39642,199,36384
52,Kyrgyzstan,38659,1447,30099
53,Afghanistan,36937,1298,25840
54,Switzerland,36108,1709,31900
55,Algeria,33626,1273,23238
56,Azerbaijan,33247,479,29275
57,Morocco,29644,449,20553
58,Uzbekistan,28315,175,19291
59,Serbia,27332,621,22299
60,Moldova,26628,828,18676
61,Ireland,26372,1768,24000
62,Kenya,24411,399,10444
63,Venezuela,22299,195,12146
64,Nepal,21750,65,15389
65,Austria,21696,719,19596
66,Costa Rica,21070,200,7038
67,Ethiopia,20900,365,9027
68,Australia,19862,255,11112
69,El Salvador,19126,513,9236
70,Czech Republic,17731,390,12320
71,Cameroon,17718,391,15320
72,Ivory Coast,16447,103,12484
73,South Korea,14499,302,13501
74,Denmark,14306,617,12787
75,Palestine,13398,92,6907
76,Bosnia and Herzegovina,13396,384,7042
77,Bulgaria,12717,424,7154
78,Madagascar,12526,134,10148
79,Sudan,11738,752,6137
80,North Macedonia,11399,517,7480
81,Senegal,10715,65,7101
82,Kosovo,9688,300,5480
83,Norway,9468,256,8857
84,DR Congo,9309,215,8048
85,Malaysia,9038,125,8713
86,Puerto Rico,7824,258,1359
87,Gabon,7787,51,5609
